SEXO,NIVEL_ACADEMICO,DPTO_INSTITUCION,ORDEN,SECTOR_ADMTIVO,NATURALEZA_JURIDICA,CLASIFICACION_ORGANICA,NIVEL_JERARQUICO_EMPLEO,TIPO_NOMBRAMIENTO,ASIG_BASICA,FECHA_VINCULACION
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,RAMA JUDICIAL,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,5251219.0,2005-12-14
FEMENINO,POSTGRADO,HUILA,TERRITORIAL,NO APLICA,EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS OFICIAL,RAMA EJECUTIVA,DIRECTIVO,PERIODO FIJO,2658535.0,2022-01-28
FEMENINO,POSTGRADO,CUNDINAMARCA,TERRITORIAL,NO APLICA,PERSONERÍA MUNICIPAL,ORGANISMO DE CONTROL Y VIGILANCIA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,4099424.0,2021-08-19
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,UNIDAD ADMINISTRATIVA ESPECIAL SIN PERSONERÍA JURÍDICA,RAMA EJECUTIVA,ASESOR,LIBRE NOMBRAMIENTO Y REMOCIÓN,8764139.0,2019-01-16
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,DEFENSA,ESPECIAL,RAMA EJECUTIVA,ASESOR,LIBRE NOMBRAMIENTO Y REMOCIÓN,2384170.0,2008-11-07
FEMENINO,PREGRADO,BOGOTÁ. D.C.,NACIONAL,DEFENSA,ESPECIAL,RAMA EJECUTIVA,ASESOR,LIBRE NOMBRAMIENTO Y REMOCIÓN,3055244.0,2009-11-10
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,DEFENSA,ESPECIAL,RAMA EJECUTIVA,ASESOR,LIBRE NOMBRAMIENTO Y REMOCIÓN,3511975.0,2011-06-21
FEMENINO,POSTGRADO,TOLIMA,TERRITORIAL,NO APLICA,EMPRESA SOCIAL DEL ESTADO,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,8872530.0,2020-05-01
FEMENINO,PREGRADO,TOLIMA,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,1964302.0,2020-01-01
FEMENINO,POSTGRADO,TOLIMA,TERRITORIAL,NO APLICA,ENTE UNIVERSITARIO AUTÓNOMO,ÓRGANO AUTÓNOMO,DIRECTIVO,NOMBRAMIENTO PROVISIONAL,4882176.0,2015-10-01
FEMENINO,POSTGRADO,TOLIMA,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,3374344.0,1976-04-19
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,NO APLICA,ESPECIAL,SISTEMA INTEGRAL DE VERDAD JUSTICIA REPARACIÓN Y NO REPETICIÓN,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,6458673.0,2018-11-01
FEMENINO,PREGRADO,TOLIMA,TERRITORIAL,NO APLICA,EMPRESA SOCIAL DEL ESTADO,RAMA EJECUTIVA,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,2172644.0,2012-08-10
FEMENINO,POSTGRADO,TOLIMA,TERRITORIAL,NO APLICA,PERSONERÍA MUNICIPAL,ORGANISMO DE CONTROL Y VIGILANCIA,DIRECTIVO,PERIODO FIJO,3691591.0,2012-03-01
FEMENINO,SIN INFORMACION,TOLIMA,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,2222554.0,2020-03-03
FEMENINO,PREGRADO,TOLIMA,TERRITORIAL,NO APLICA,EMPRESA SOCIAL DEL ESTADO,RAMA EJECUTIVA,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,3549661.0,2012-02-01
FEMENINO,POSTGRADO,TOLIMA,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,2327594.0,2016-01-01
FEMENINO,PREGRADO,TOLIMA,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,3256357.0,2020-01-01
FEMENINO,SIN INFORMACION,TOLIMA,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,ELECCIÓN POPULAR,4054071.0,2020-01-01
FEMENINO,PREGRADO,TOLIMA,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,2756447.0,2016-01-01
FEMENINO,POSTGRADO,TOLIMA,TERRITORIAL,NO APLICA,EMPRESA SOCIAL DEL ESTADO,RAMA EJECUTIVA,ASESOR,LIBRE NOMBRAMIENTO Y REMOCIÓN,4446048.0,2018-01-03
FEMENINO,BASICA SECUNDARIA,BOGOTÁ. D.C.,NACIONAL,JUSTICIA Y DEL DERECHO,ESTABLECIMIENTO PÚBLICO,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,2874723.0,2010-01-29
FEMENINO,POSTGRADO,TOLIMA,TERRITORIAL,NO APLICA,GOBERNACIÓN,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,4580080.0,2022-07-08
FEMENINO,BASICA SECUNDARIA,TOLIMA,TERRITORIAL,NO APLICA,EMPRESA SOCIAL DEL ESTADO,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,3065009.0,2017-07-01
FEMENINO,PREGRADO,TOLIMA,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,3012819.0,2020-01-01
FEMENINO,PREGRADO,BOGOTÁ. D.C.,NACIONAL,DEFENSA,ESPECIAL,RAMA EJECUTIVA,ASESOR,LIBRE NOMBRAMIENTO Y REMOCIÓN,2931809.0,2001-09-03
FEMENINO,POSTGRADO,CUNDINAMARCA,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,1961885.0,2020-01-01
FEMENINO,POSTGRADO,TOLIMA,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,3393089.0,2020-01-13
